Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Calla lillies,16251.75,23005189.0,02/25/2015 12:00:00 AM
Cut-flowers,Campanula,23.74,4463.0,02/25/2015 12:00:00 AM
Cut-flowers,Carnation / dianthus,352019.79,148458602.0,02/25/2015 12:00:00 AM
Cut-flowers,Celosia/wool flowers,959.0,317851.0,02/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums,8151.88,48976134.0,02/25/2015 12:00:00 AM
Cut-flowers,Craspedia,7136.11,1417919.0,02/25/2015 12:00:00 AM
Cut-flowers,Crocosmia / montbretia,2466.68,1044479.0,02/25/2015 12:00:00 AM
Cut-flowers,Delphinium,3028.99,2281820.0,02/25/2015 12:00:00 AM
Cut-flowers,Eryngium,7788.52,2808568.0,02/25/2015 12:00:00 AM
Cut-flowers,Eucalyptus,829.51,261107.0,02/25/2015 12:00:00 AM
Cut-flowers,Euphorbia,326.69,56759.0,02/25/2015 12:00:00 AM
Cut-flowers,Fennel/feoniculum,8.04,1748.0,02/25/2015 12:00:00 AM
Cut-flowers,Freesia,135.58,59016.0,02/25/2015 12:00:00 AM
Cut-flowers,Gladiolus,62.05,19263.0,02/25/2015 12:00:00 AM
Cut-flowers,Grass,655.5,465196.0,02/25/2015 12:00:00 AM
Cut-flowers,Gypsophilla / million stars,165073.74,59156258.0,02/25/2015 12:00:00 AM
Cut-flowers,Heliconia,97.6,56071.0,02/25/2015 12:00:00 AM
Cut-flowers,Helianthus/sunflower,6135.54,1938020.0,02/25/2015 12:00:00 AM
Cut-flowers,Hypericum,123187.16,51751382.0,02/25/2015 12:00:00 AM
Cut-flowers,Kangaroo paw,5096.22,708369.0,02/25/2015 12:00:00 AM
Cut-flowers,Lavender,165.41,39555.0,02/25/2015 12:00:00 AM
Cut-flowers,Liatris,683.38,83660.0,02/25/2015 12:00:00 AM
Cut-flowers,Lilies/longiflora,46368.6,46593978.0,02/25/2015 12:00:00 AM
Cut-flowers,Lisianthus/eustoma,19.71,27225.0,02/25/2015 12:00:00 AM
Cut-flowers,Mathiola,29431.02,26609754.0,02/25/2015 12:00:00 AM
Cut-flowers,Mixed flowers,163970.95,76959520.0,02/25/2015 12:00:00 AM
Cut-flowers,Mobbydick,5805.36,1635928.0,02/25/2015 12:00:00 AM
Cut-flowers,Molucella,165.98,47929.0,02/25/2015 12:00:00 AM
