Type,Commodity,KGs,Value_of_Goods_Exported,Date
Cut-flowers,Astrantia,2314.4,926058,02/25/2015 12:00:00 AM
Cut-flowers,Bougainvillea,3435.72,2422994,02/25/2015 12:00:00 AM
Cut-flowers,Bouvadia,619.05,1166744,02/25/2015 12:00:00 AM
Cut-flowers,Brodiaea,786.71,724128,02/25/2015 12:00:00 AM
Cut-flowers,Bupleurum,2013.99,864009,02/25/2015 12:00:00 AM
Cut-flowers,Callistaphus,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Calla lillies,16251.75,23005189,02/25/2015 12:00:00 AM
Cut-flowers,Campanula,23.74,4463,02/25/2015 12:00:00 AM
Cut-flowers,Carnation / dianthus,352019.79,148458602,02/25/2015 12:00:00 AM
Cut-flowers,Carthamus,0,,02/25/2015 12:00:00 AM
Cut-flowers,Celosia/wool flowers,959,317851,02/25/2015 12:00:00 AM
Cut-flowers,Chrysanthemums,8151.88,48976134,02/25/2015 12:00:00 AM
Cut-flowers,Craspedia,7136.11,1417919,02/25/2015 12:00:00 AM
Cut-flowers,Crocosmia / montbretia,2466.68,1044479,02/25/2015 12:00:00 AM
Cut-flowers,Delphinium,3028.99,2281820,02/25/2015 12:00:00 AM
Cut-flowers,Eryngium,7788.52,2808568,02/25/2015 12:00:00 AM
Cut-flowers,Eucalyptus,829.51,261107,02/25/2015 12:00:00 AM
Cut-flowers,Euphorbia,326.69,56759,02/25/2015 12:00:00 AM
Cut-flowers,Fennel/feoniculum,8.04,1748,02/25/2015 12:00:00 AM
Cut-flowers,Freesia,135.58,59016,02/25/2015 12:00:00 AM
Cut-flowers,Gerbera,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Germini,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Gladiolus,62.05,19263,02/25/2015 12:00:00 AM
Cut-flowers,Grass,655.5,465196,02/25/2015 12:00:00 AM
Cut-flowers,Gypsophilla / million stars,165073.74,59156258,02/25/2015 12:00:00 AM
Cut-flowers,Heliconia,97.6,56071,02/25/2015 12:00:00 AM
Cut-flowers,Helianthus/sunflower,6135.54,1938020,02/25/2015 12:00:00 AM
Cut-flowers,Hypericum,123187.16,51751382,02/25/2015 12:00:00 AM
Cut-flowers,Ivy plants/hederas,0,0,02/25/2015 12:00:00 AM
Cut-flowers,Kangaroo paw,5096.22,708369,02/25/2015 12:00:00 AM
Cut-flowers,Lavender,165.41,39555,02/25/2015 12:00:00 AM
Cut-flowers,Liatris,683.38,83660,02/25/2015 12:00:00 AM
Cut-flowers,Lilies/longiflora,46368.6,46593978,02/25/2015 12:00:00 AM
Cut-flowers,Lisianthus/eustoma,19.71,27225,02/25/2015 12:00:00 AM
Cut-flowers,Mathiola,29431.02,26609754,02/25/2015 12:00:00 AM
Cut-flowers,Mixed flowers,163970.95,76959520,02/25/2015 12:00:00 AM
